Month,Class A Hong Kong,Class A Hong Kong - < 20 transactions,Class A Kowloon,Class A Kowloon - < 20 transactions,Class A New Territories,Class A New Territories - < 20 transactions,Class B Hong Kong,Class B Hong Kong - < 20 transactions,Class B Kowloon,Class B Kowloon - < 20 transactions,Class B New Territories,Class B New Territories - < 20 transactions,Class C Hong Kong,Class C Hong Kong - < 20 transactions,Class C Kowloon,Class C Kowloon - < 20 transactions,Class C New Territories,Class C New Territories - < 20 transactions,Class D Hong Kong,Class D Hong Kong - < 20 transactions,Class D Kowloon,Class D Kowloon - < 20 transactions,Class D New Territories,Class D New Territories - < 20 transactions,Class E Hong Kong,Class E Hong Kong - < 20 transactions,Class E Kowloon,Class E Kowloon - < 20 transactions,Class E New Territories,Class E New Territories - < 20 transactions
2015-11-01,430,False,327,False,265,False,391,False,316,False,235,False,418,False,329,False,244,False,454,False,333,False,249,False,465,False,299,True,246,True
2015-12-01,433,False,323,False,263,False,379,False,303,False,230,False,412,False,321,False,247,False,434,False,316,False,254,False,454,False,296,True,248,True
2016-01-01,432,False,314,False,255,False,365,False,299,False,224,False,398,False,339,False,247,False,422,False,341,False,261,False,427,False,341,True,231,True
2016-02-01,407,False,308,False,249,False,361,False,288,False,222,False,412,False,318,False,230,False,437,False,337,False,281,False,435,False,346,True,246,True
2016-03-01,396,False,303,False,249,False,353,False,299,False,218,False,385,False,327,False,230,False,418,False,305,False,261,False,442,False,322,True,229,False
2016-04-01,385,False,310,False,241,False,355,False,286,False,214,False,390,False,300,False,231,False,418,False,298,False,258,False,417,False,406,True,208,True
2016-05-01,398,False,310,False,251,False,364,False,289,False,219,False,408,False,313,False,225,False,411,False,305,False,236,False,427,False,310,True,227,False
2016-06-01,419,False,319,False,262,False,375,False,295,False,215,False,385,False,332,False,223,False,410,False,343,False,229,False,436,False,413,True,214,False
2016-07-01,427,False,355,False,277,False,383,False,307,False,227,False,387,False,336,False,225,False,417,False,336,False,235,False,431,False,371,True,223,False
2016-08-01,429,False,344,False,282,False,377,False,309,False,232,False,402,False,333,False,232,False,429,False,340,False,250,False,441,False,297,True,260,False
2016-09-01,422,False,334,False,272,False,377,False,310,False,227,False,397,False,333,False,233,False,422,False,339,False,239,False,427,False,430,True,243,False
2016-10-01,422,False,338,False,278,False,379,False,314,False,235,False,396,False,324,False,244,False,428,False,321,False,242,False,431,False,317,True,254,True
2016-11-01,410,False,340,False,279,False,378,False,317,False,243,False,399,False,344,False,246,False,426,False,311,False,246,False,431,False,300,True,250,True
2016-12-01,405,False,340,False,285,False,387,False,311,False,239,False,383,False,348,False,245,False,428,False,318,False,264,False,443,False,314,True,233,True
2017-01-01,424,False,331,False,278,False,386,False,317,False,242,False,422,False,346,False,248,False,440,False,329,False,244,False,436,False,331,True,231,False
2017-02-01,434,False,339,False,281,False,406,False,314,False,240,False,427,False,334,False,248,False,442,False,340,False,267,False,455,False,426,True,251,True
2017-03-01,434,False,338,False,283,False,393,False,319,False,241,False,432,False,343,False,254,False,444,False,322,False,242,False,414,False,351,True,235,False
2017-04-01,427,False,347,False,287,False,395,False,312,False,246,False,422,False,356,False,251,False,435,False,355,False,233,False,440,False,396,True,224,False
2017-05-01,438,False,335,False,290,False,397,False,326,False,247,False,427,False,358,False,260,False,446,False,336,False,250,False,454,False,325,True,234,False
2017-06-01,454,False,361,False,294,False,397,False,322,False,246,False,426,False,359,False,260,False,430,False,349,False,240,False,431,False,371,True,259,False
2017-07-01,469,False,358,False,295,False,400,False,325,False,252,False,435,False,365,False,260,False,436,False,357,False,259,False,457,False,369,True,249,False
2017-08-01,460,False,363,False,307,False,412,False,337,False,257,False,427,False,352,False,265,False,438,False,364,False,272,False,466,False,362,True,243,False
2017-09-01,460,False,357,False,298,False,401,False,331,False,251,False,436,False,361,False,261,False,454,False,360,False,257,False,481,False,441,True,248,False
2017-10-01,460,False,366,False,306,False,412,False,330,False,255,False,423,False,361,False,260,False,457,False,340,False,271,False,492,False,369,True,222,False
2017-11-01,468,False,365,False,311,False,412,False,337,False,258,False,467,False,357,False,269,False,439,False,358,False,262,False,446,False,392,True,226,False
2017-12-01,465,False,373,False,305,False,416,False,347,False,257,False,458,False,364,False,263,False,470,False,361,False,256,False,437,False,253,True,240,False
2018-01-01,472,False,390,False,298,False,427,False,345,False,256,False,476,False,365,False,264,False,444,False,379,False,269,False,482,False,367,True,271,False
2018-02-01,477,False,386,False,305,False,427,False,354,False,262,False,468,False,383,False,260,False,450,False,382,False,277,False,447,False,111,True,261,True
2018-03-01,467,False,383,False,303,False,416,False,352,False,260,False,448,False,364,False,260,False,452,False,389,False,257,False,437,False,0,False,251,False
2018-04-01,467,False,382,False,304,False,418,False,337,False,260,False,460,False,365,False,266,False,445,False,342,False,271,False,467,False,307,True,226,True
2018-05-01,474,False,378,False,312,False,420,False,358,False,265,False,469,False,372,False,263,False,458,False,396,False,265,False,482,False,466,True,243,False
2018-06-01,481,False,387,False,322,False,419,False,345,False,265,False,456,False,381,False,266,False,459,False,384,False,258,False,474,False,453,True,212,False
2018-07-01,493,False,392,False,323,False,431,False,349,False,272,False,427,False,369,False,277,False,443,False,388,False,264,False,493,False,365,True,270,False
2018-08-01,494,False,410,False,328,False,435,False,366,False,276,False,443,False,374,False,285,False,449,False,382,False,278,False,486,False,409,True,250,False
2018-09-01,505,False,390,False,309,False,435,False,355,False,272,False,458,False,385,False,270,False,465,False,378,False,264,False,463,False,315,True,256,False
2018-10-01,505,False,390,False,318,False,442,False,364,False,270,False,468,False,392,False,275,False,450,False,390,False,280,False,469,False,208,True,254,False
2018-11-01,503,False,394,False,309,False,433,False,355,False,273,False,467,False,383,False,271,False,458,False,393,False,275,False,502,False,404,True,264,False
2018-12-01,493,False,389,False,306,False,427,False,356,False,263,False,436,False,381,False,260,False,448,False,381,False,279,False,466,False,448,True,255,False
2019-01-01,509,False,368,False,299,False,422,False,343,False,262,False,467,False,378,False,272,False,461,False,344,False,273,False,474,False,408,True,226,False
2019-02-01,501,False,372,False,307,False,447,False,346,False,255,False,452,False,369,False,270,False,469,False,354,False,275,False,523,False,301,True,275,True
2019-03-01,485,False,381,False,309,False,432,False,353,False,262,False,458,False,368,False,265,False,489,False,355,False,278,False,458,False,440,True,219,False
2019-04-01,499,False,380,False,307,False,432,False,334,False,263,False,441,False,372,False,267,False,452,False,381,False,274,False,460,False,311,True,230,True
2019-05-01,492,False,380,False,308,False,431,False,364,False,266,False,452,False,378,False,270,False,464,False,359,False,268,False,474,False,303,True,255,False
2019-06-01,524,False,395,False,314,False,428,False,357,False,263,False,459,False,369,False,271,False,460,False,407,False,254,False,462,False,328,True,265,False
2019-07-01,521,False,405,False,330,False,440,False,358,False,277,False,459,False,365,False,280,False,477,False,345,False,271,False,461,False,369,True,231,False
2019-08-01,533,False,417,False,335,False,443,False,364,False,278,False,454,False,382,False,279,False,462,False,369,False,280,False,490,False,317,True,261,False
2019-09-01,515,False,393,False,318,False,436,False,350,False,265,False,451,False,367,False,275,False,461,False,351,False,265,False,472,False,479,True,221,False
2019-10-01,491,False,377,False,310,False,421,False,341,False,264,False,426,False,360,False,262,False,444,False,352,False,265,False,470,False,470,True,241,True
2019-11-01,486,False,395,False,311,False,418,False,338,False,259,False,440,False,357,False,263,False,416,False,354,False,248,False,460,False,375,True,251,False
2019-12-01,468,False,386,False,311,False,419,False,340,False,265,False,436,False,385,False,264,False,435,False,376,False,259,False,417,False,419,True,255,True
2020-01-01,465,False,380,False,294,False,414,False,333,False,260,False,434,False,358,False,262,False,439,False,342,False,262,False,445,False,403,True,259,False
2020-02-01,458,False,384,False,301,False,418,False,333,False,260,False,437,False,367,False,262,False,424,False,367,False,249,False,431,False,0,False,260,True
2020-03-01,450,False,367,False,299,False,396,False,337,False,246,False,413,False,340,False,250,False,425,False,346,False,236,False,437,False,294,True,252,False
2020-04-01,436,False,367,False,285,False,397,False,326,False,249,False,396,False,343,False,245,False,417,False,340,False,253,False,423,False,329,True,247,False
2020-05-01,428,False,361,False,294,False,387,False,327,False,252,False,416,False,355,False,254,False,400,False,331,False,254,False,443,False,291,True,218,False
2020-06-01,456,False,378,False,298,False,392,False,337,False,251,False,412,False,360,False,251,False,402,False,338,False,236,False,417,False,299,True,226,False
2020-07-01,461,False,377,False,302,False,393,False,330,False,252,False,413,False,345,False,254,False,424,False,337,False,254,False,420,False,333,True,220,False
2020-08-01,446,False,373,False,304,False,393,False,333,False,258,False,397,False,339,False,258,False,414,False,348,False,268,False,406,False,396,True,229,False
2020-09-01,442,False,370,False,299,False,388,False,323,False,251,False,416,False,345,False,264,False,428,False,326,False,241,False,410,False,292,True,218,False
2020-10-01,443,False,365,False,305,False,387,False,328,False,260,False,400,False,345,False,259,False,411,False,332,False,258,False,416,False,350,True,226,False
2020-11-01,431,False,368,False,301,False,391,False,326,False,257,False,406,False,336,False,257,False,412,False,336,False,252,False,428,False,346,True,250,True
2020-12-01,427,False,362,False,303,False,389,False,327,False,258,False,383,False,342,False,261,False,413,False,349,False,277,False,436,False,406,True,220,False
2021-01-01,433,False,360,False,292,False,379,False,325,False,252,False,387,False,346,False,252,False,413,False,325,False,272,False,401,False,397,True,249,False
2021-02-01,442,False,355,False,293,False,382,False,324,False,256,False,402,False,350,False,258,False,398,False,329,False,250,False,396,False,453,True,246,False
2021-03-01,435,False,367,False,293,False,385,False,327,False,254,False,417,False,348,False,259,False,405,False,359,False,253,False,397,False,283,True,238,False
2021-04-01,430,False,364,False,300,False,378,False,322,False,256,False,397,False,345,False,258,False,412,False,334,False,257,False,452,False,422,True,207,False
2021-05-01,446,False,378,False,306,False,398,False,335,False,257,False,413,False,359,False,262,False,420,False,352,False,264,False,432,False,391,True,236,False
2021-06-01,440,False,366,False,300,False,391,False,329,False,254,False,415,False,350,False,264,False,434,False,357,False,245,False,431,False,330,True,252,False
2021-07-01,449,False,371,False,310,False,392,False,328,False,258,False,412,False,337,False,262,False,418,False,348,False,265,False,426,False,346,True,234,False
2021-08-01,449,False,389,False,319,False,390,False,345,False,266,False,411,False,347,False,268,False,425,False,346,False,256,False,416,False,350,True,229,False
2021-09-01,463,False,397,False,312,False,398,False,334,False,261,False,417,False,357,False,272,False,412,False,336,False,262,False,430,False,384,True,251,False
2021-10-01,460,False,390,False,311,False,410,False,331,False,266,False,409,False,349,False,271,False,428,False,364,False,272,False,432,False,370,True,243,False
2021-11-01,442,False,382,False,314,False,407,False,333,False,268,False,399,False,347,False,260,False,428,False,387,False,250,False,412,False,466,True,279,False
2021-12-01,445,False,385,False,318,False,401,False,335,False,264,False,408,False,364,False,261,False,419,False,350,False,266,False,421,False,430,True,256,False
2022-01-01,430,False,380,False,312,False,393,False,336,False,263,False,396,False,348,False,273,False,437,False,337,False,268,False,438,False,352,True,247,False
2022-02-01,454,False,375,False,304,False,404,False,331,False,261,False,407,False,361,False,259,False,427,False,328,False,264,False,441,False,359,True,247,True
2022-03-01,432,False,378,False,313,False,384,False,330,False,255,False,398,False,349,False,260,False,422,False,330,False,248,False,446,False,381,True,235,False
2022-04-01,427,False,368,False,300,False,371,False,317,False,249,False,391,False,335,False,254,False,408,False,344,False,255,False,429,False,372,True,216,False
2022-05-01,438,False,370,False,303,False,382,False,324,False,252,False,392,False,349,False,258,False,412,False,330,False,252,False,402,False,281,True,225,False
2022-06-01,442,False,368,False,299,False,377,False,320,False,251,False,387,False,329,False,260,False,419,False,344,False,265,False,425,False,300,True,217,False
2022-07-01,446,False,373,False,311,False,385,False,320,False,258,False,407,False,340,False,255,False,421,False,331,False,247,False,435,False,342,True,212,False
2022-08-01,453,False,384,False,320,False,381,False,330,False,261,False,404,False,331,False,258,False,399,False,334,False,255,False,413,False,367,True,234,False
2022-09-01,459,False,382,False,310,False,386,False,323,False,255,False,403,False,337,False,261,False,409,False,329,False,256,False,413,False,326,True,239,False
2022-10-01,455,False,379,False,306,False,380,False,315,False,256,False,392,False,349,False,255,False,397,False,316,False,243,False,426,False,287,True,226,False
2022-11-01,434,False,380,False,302,False,376,False,317,False,250,False,415,False,326,False,251,False,415,False,327,False,243,False,425,False,386,True,213,False
2022-12-01,439,False,371,False,300,False,369,False,323,False,245,False,400,False,341,False,251,False,407,False,318,False,246,False,434,False,319,True,212,True
2023-01-01,446,False,377,False,292,False,369,False,323,False,245,False,432,False,332,False,242,False,419,False,335,False,249,False,389,False,344,True,210,True
2023-02-01,441,False,378,False,301,False,370,False,321,False,248,False,407,False,344,False,243,False,407,False,345,False,238,False,402,False,405,True,218,False
2023-03-01,448,False,378,False,302,False,374,False,333,False,250,False,401,False,343,False,253,False,409,False,342,False,247,False,415,False,476,True,206,False
2023-04-01,445,False,391,False,312,False,373,False,329,False,251,False,416,False,354,False,250,False,418,False,324,False,244,False,423,False,383,True,221,False
2023-05-01,429,False,385,False,304,False,374,False,336,False,254,False,412,False,349,False,255,False,426,False,340,False,242,False,453,False,361,True,231,False
2023-06-01,436,False,387,False,309,False,381,False,338,False,250,False,411,False,353,False,254,False,431,False,377,False,244,False,428,False,390,True,233,False
2023-07-01,461,False,392,False,314,False,376,False,339,False,258,False,410,False,345,False,261,False,437,False,348,False,260,False,437,False,416,True,222,False
2023-08-01,462,False,418,False,333,False,382,False,348,False,269,False,409,False,347,False,260,False,428,False,371,False,257,False,432,False,282,True,240,False
2023-09-01,481,False,402,False,312,False,390,False,348,False,260,False,403,False,354,False,257,False,424,False,355,False,244,False,434,False,605,True,222,False
2023-10-01,468,False,440,False,315,False,391,False,346,False,263,False,423,False,360,False,271,False,442,False,364,False,266,False,471,False,387,True,237,False
2023-11-01,461,False,413,False,316,False,390,False,351,False,261,False,413,False,356,False,262,False,433,False,363,False,248,False,456,False,381,True,200,True
2023-12-01,472,False,428,False,325,False,396,False,345,False,263,False,429,False,361,False,265,False,405,False,371,False,245,False,468,False,351,True,219,False
2024-01-01,468,False,398,False,328,False,393,False,352,False,264,False,437,False,363,False,258,False,454,False,350,False,244,False,440,False,415,True,225,False
2024-02-01,457,False,410,False,315,False,383,False,348,False,265,False,435,False,344,False,259,False,438,False,344,False,257,False,447,False,450,True,253,False
