Month,Class A Hong Kong,Class A Hong Kong - Remarks,Class A Kowloon,Class A Kowloon - Remarks,Class A New Territories,Class A New Territories - Remarks,Class B Hong Kong,Class B Hong Kong - Remarks,Class B Kowloon,Class B Kowloon - Remarks,Class B New Territories,Class B New Territories - Remarks,Class C Hong Kong,Class C Hong Kong - Remarks,Class C Kowloon,Class C Kowloon - Remarks,Class C New Territories,Class C New Territories - Remarks,Class D Hong Kong,Class D Hong Kong - Remarks,Class D Kowloon,Class D Kowloon - Remarks,Class D New Territories,Class D New Territories - Remarks,Class E Hong Kong,Class E Hong Kong - Remarks,Class E Kowloon,Class E Kowloon - Remarks,Class E New Territories,Class E New Territories - Remarks
Jan-99,190,,171,,133,,199,,165,,118,,249,,187,,150,,284,,198,,185,,301,,185,,191,
Feb-99,196,,173,,133,,204,,165,,114,,239,,177,,144,,268,,196,Z,173,,311,,213,Z,152,
Mar-99,199,,170,,133,,197,,160,,117,,247,,177,,142,,262,,174,,186,,301,,194,Z,190,Z
Apr-99,191,,171,,135,,200,,156,,116,,256,,182,,134,,279,,172,,170,,313,,221,Z,172,
May-99,191,,175,,127,,188,,155,,113,,233,,175,,133,,279,,180,,180,,289,,168,Z,162,Z
Jun-99,193,,176,,129,,197,,153,,113,,253,,186,,146,,272,,210,,164,,306,,246,Z,171,
Jul-99,193,,177,,133,,200,,154,,116,,255,,181,,133,,273,,167,,162,,322,,142,Z,177,
Aug-99,198,,172,,132,,200,,155,,114,,251,,186,,139,,275,,196,,184,,308,,159,Z,160,
Sep-99,194,,176,,131,,203,,156,,115,,253,,177,,136,,271,,198,,170,,310,,153,Z,189,Z
Oct-99,194,,177,,135,,196,,159,,125,,257,,196,,145,,274,,191,Z,203,,294,,188,Z,198,Z
Nov-99,184,,176,,141,,189,,153,,119,,236,,196,,136,,264,,195,,156,,309,,199,Z,170,Z
Dec-99,183,,168,,137,,183,,158,,121,,251,,177,,146,,277,,158,Z,180,,319,,173,Z,169,
Jan-00,187,,166,,132,,188,,149,,116,,244,,166,,140,,264,,183,,171,,321,,180,Z,203,Z
Feb-00,185,,169,,134,,188,,150,,115,,242,,161,,137,,269,,219,Z,188,,302,,251,Z,166,Z
Mar-00,191,,172,,133,,192,,154,,118,,249,,180,,137,,277,,183,,178,,308,,182,Z,190,
Apr-00,194,,167,,128,,195,,146,,118,,258,,159,,147,,270,,175,,174,,296,,180,Z,176,Z
May-00,192,,167,,130,,200,,146,,115,,244,,177,,139,,281,,198,,170,,317,,192,Z,162,
Jun-00,193,,164,,126,,198,,145,,114,,248,,168,,143,,277,,176,,182,,299,,179,Z,150,
Jul-00,191,,164,,126,,193,,149,,114,,253,,174,,140,,278,,204,,188,,320,,203,Z,173,
Aug-00,186,,164,,125,,197,,145,,116,,248,,155,,142,,278,,195,,191,,326,,184,Z,168,
Sep-00,196,,160,,132,,205,,149,,118,,264,,181,,150,,287,,181,Z,180,,340,,197,Z,181,
Oct-00,193,,163,,132,,205,,149,,120,,250,,183,,150,,268,,175,Z,184,,330,,203,Z,163,
Nov-00,194,,168,,128,,197,,157,,120,,262,,161,,150,,280,,190,,203,,319,,182,Z,184,
Dec-00,193,,162,,131,,209,,155,,120,,266,,205,,145,,284,,247,,205,,309,,255,Z,178,Z
Jan-01,188,,161,,126,,196,,164,,120,,268,,224,,147,,287,,258,,186,,338,,251,Z,178,Z
Feb-01,195,,160,,127,,199,,152,,115,,259,,209,,162,,273,,303,,191,,324,,221,Z,187,
Mar-01,196,,158,,124,,194,,147,,115,,256,,190,,141,,285,,243,,182,,306,,249,Z,210,Z
Apr-01,191,,155,,123,,195,,147,,110,,253,,172,,136,,281,,242,,172,,317,,194,Z,188,
May-01,191,,157,,121,,188,,147,,113,,258,,190,,140,,288,,217,,193,,330,,200,Z,194,Z
Jun-01,187,,152,,119,,192,,138,,112,,254,,176,,140,,296,,238,,183,,327,,180,Z,153,
Jul-01,184,,150,,117,,192,,148,,110,,253,,177,,137,,303,,232,,173,,343,,206,Z,197,
Aug-01,182,,149,,121,,194,,142,,108,,256,,183,,140,,292,,223,,181,,336,,151,Z,187,
